S No,Player Name,Player_Type,Player_Speciality,Player Image,Total Impact,Impact/Match,Matches,Runs,Wickets,Batting Impact,Batting Impact/Innings,Batted Innings,Runs,Impact Runs,Bowling Impact,Bowling Impact per Match,Bowled Innings,Wickets,Impact Wickets
60,Liam Livingstone,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383152.1.png",108.6,10.8,10,112,2,83.9,10.4,8,112,103.3,24.7,4.9,5,2,1.2
144,Lizaad Williams,Overseas,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
227,Lockie Ferguson,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383174.1.png",122.5,30.6,4,4,5,3.1,3.1,1,4,4,119.4,29.8,4,5,6.3
78,Lungi Ngidi,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322000/322069.1.png",135.8,67.9,2,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,135.8,67.9,2,4,6.5
216,Luvnith Sisodia,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
228,M Shahrukh Khan,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/359700/359756.1.png",203.9,13.5,15,179,1,176.8,16,11,179,184.3,27.1,27.1,1,1,1.7
156,M Siddharth,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
186,Madhav Tiwari,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/397400/397423.7.png",1.2,1.2,1,3,,1.2,1.2,1,3,2.7,#N/A,#N/A,#N/A,#N/A,#N/A
44,Maheesh Theekshana,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/347800/347825.1.png",291,26.4,11,10,11,-1,-0.3,4,10,5.8,292,26.5,11,11,13.5
168,Mahipal Lomror,Indian,Batter,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
206,Manav Suthar,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
228,Manimaran Siddharth,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/330900/330975.5.png",38.4,19.2,2,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,38.4,19.2,2,2,3
135,Manish Pandey,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/323000/323052.1.png",71.5,23.8,3,92,,71.5,23.8,3,92,92.4,#N/A,#N/A,#N/A,#N/A,#N/A
219,Manoj Bhandage,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/359700/359766.1.png",-3,-3,1,1,,-3,-3,1,1,-2,#N/A,#N/A,#N/A,#N/A,#N/A
182,Manvanth Kumar,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
