S No,Player Name,Player_Type,Player_Speciality,Player Image,Total Impact,Impact/Match,Matches,Runs,Wickets,Batting Impact,Batting Impact/Innings,Batted Innings,Runs,Impact Runs,Bowling Impact,Bowling Impact per Match,Bowled Innings,Wickets,Impact Wickets
171,Vijay Shankar,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322600/322613.1.png",99.7,16.6,6,118,,99.7,19.9,5,118,119.7,#N/A,#N/A,#N/A,#N/A,#N/A
228,Vijaykumar Vyshak,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390600/390654.2.png",157.1,31.4,5,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,157.1,31.4,5,4,6.1
184,Vipraj Nigam,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/397400/397429.4.png",489.1,34.9,14,142,11,195.4,24.4,8,142,173.3,293.7,22.5,13,11,13.9
7,Virat Kohli,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/316600/316605.3.png",549.7,36.6,15,657,,549.7,36.6,15,657,656.5,#N/A,#N/A,#N/A,#N/A,#N/A
157,Vishnu Vinod,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
112,Vyshak Vijaykumar,Indian,Bowler,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27,Wanindu Hasaranga,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322900/322946.1.png",317.9,28.9,11,9,11,-10.4,-2.1,5,9,-0.1,328.3,29.8,11,11,13.7
75,Washington Sundar,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322600/322619.1.png",164.5,27.4,6,133,2,109.4,21.8,5,133,135.6,55,11,5,2,2.3
228,Wiaan Mulder,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322000/322086.1.png",-7.4,-7.4,1,9,,-2.6,-2.6,1,9,3.6,#N/A,#N/A,#N/A,#N/A,#N/A
89,Will Jacks,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383155.1.png",363.9,27.9,13,233,6,183.5,16.6,11,233,237.5,180.4,22.5,8,6,9.1
228,Will O'Rourke,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/400500/400557.2.png",155.1,51.7,3,0,6,#N/A,#N/A,#N/A,#N/A,#N/A,155.1,51.7,3,6,9.2
108,Xavier Bartlett,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390700/390741.2.png",45.3,11.3,4,11,2,9.5,9.5,1,11,12.1,35.8,8.9,4,2,2.9
141,Yash Dayal,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/387500/387586.4.png",359.1,23.9,15,4,13,1,0.3,3,4,2.3,358.1,23.8,15,13,17.2
170,Yash Thakur,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/392800/392812.2.png",14.6,7.3,2,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,14.6,7.3,2,1,0.8
5,Yashasvi Jaiswal,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/340300/340309.1.png",567.9,40.5,14,559,,567.9,40.5,14,559,602.4,#N/A,#N/A,#N/A,#N/A,#N/A
213,Yudhvir Singh,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/314700/314789.jpg",84.9,21.2,4,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,84.9,21.2,4,4,5.9
187,Yuvraj Chaudhary,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34,Yuzvendra Chahal,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/319900/319955.1.png",387.7,27.6,14,0,16,#N/A,#N/A,#N/A,#N/A,#N/A,387.7,29.8,13,16,18.7
202,Zeeshan Ansari,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/399200/399247.2.png",142.2,14.2,10,0,6,#N/A,#N/A,#N/A,#N/A,#N/A,142.2,14.2,10,6,8.1
